frontside;backside;user_id;course_id;category_id
ability;Fähigkeit, Eignung, Können;1;1;1
action;Handlung, Tat, Aktion;1;1;1
activity;Beschäftigung, Aktivität;1;1;1
address;Adresse;1;1;1
adult;Erwachsener;1;1;1
age;Alter;1;1;1
agreement;Zustimmung, Einigung, Vereinbarung;1;1;1
air;Luft;1;1;1
airport;Flughafen;1;1;1
amount;Menge, Umfang, Betrag;1;1;1
animal;Tier;1;1;1
answer;Antwort;1;1;1
area;Gegend, Gebiet;1;1;1
argument, quarrel;Streit;1;1;1
arm;Arm;1;1;1
art;Kunst;1;1;1
article;Artikel, Ware, Gegenstand;1;1;1
attention;Aufmerksamkeit;1;1;1
audience;Zuschauer, Publikum;1;1;1
back;Rücken, Rückseite;1;1;1
bag;Tasche, Beutel;1;1;1
bakery;Bäckerei;1;1;1
bank;Bank;1;1;1
bed;Bett;1;1;1
bedroom;Schlafzimmer;1;1;1
beer;Bier;1;1;1
behaviour;Verhalten;1;1;1
benefit;Nutzen, Vorteil;1;1;1
bike;Fahrrad;1;1;1
bill;Rechnung;1;1;1
blood;Blut;1;1;1
body;Körper, Leiche;1;1;1
book;Buch;1;1;1
box;Kiste, Schachtel;1;1;1
boy;Junge;1;1;1
bread;Brot;1;1;1
brother;Bruder;1;1;1
brother-in-law;Schwager;1;1;1
building;Gebäude;1;1;1
bus;Bus;1;1;1
business;Geschäft;1;1;1
cancer;Krebs;1;1;1
capital;Hauptstadt;1;1;1
car;Auto;1;1;1
card;Karte (Visiten-);1;1;1
career;Karriere, Werdegang;1;1;1
cause;Grund, Ursache;1;1;1
century;Jahrhundert;1;1;1
chair;Stuhl;1;1;1
challenge;Herausforderung;1;1;1
chance;Gelegenheit, Zufall;1;1;1
front;Vorderseite, Vorderteil;1;1;1
child;Kind;1;1;1
choice;Wahl;1;1;1
church;Kirche;1;1;1
cinema;Kino;1;1;1
citizen;Bürger;1;1;1
city;(Groß-)Stadt;1;1;1
cloud;Wolke;1;1;1
collection;Sammlung;1;1;1
colour;Farbe;1;1;1
community;Gemeinde, Gemeinschaft;1;1;1
company;"Begleitung; Firma";1;1;1
condition;Bedingung;1;1;1
cost;Kosten;1;1;1
country;Land;1;1;1
countryside;ländlicher Raum;1;1;1
course;"Kurs; Verlauf";1;1;1
court;"Hof, Hinterhof; Gericht";1;1;1
crime;Verbrechen;1;1;1
cup;Tasse;1;1;1
daughter;Tochter;1;1;1
day;Tag;1;1;1
death;Tod;1;1;1
decade;Jahrzehnt;1;1;1
decision;Entscheidung;1;1;1
defense / defence;Verteidigung;1;1;1
degree;Maß, Ausmaß, Grad;1;1;1
development;Entwicklung;1;1;1
difference;Unterschied;1;1;1
difficult;schwierig;1;1;1
direction;Richtung;1;1;1
